"ubcf_rmse_val","ubcf_mse_val","ubcf_mae_val"
1.21858471125674,1.48494869850867,0.9455752415576
1.20083099942059,1.44199508916945,0.930326790187027
1.21592195217294,1.47846619377606,0.941579357638325
1.18740654461932,1.40993430220479,0.917790967751954
1.21134308241197,1.46735206330733,0.936701227274305
1.21149844730205,1.46772848781527,0.935967197995029
1.21786146779875,1.48318655474893,0.941914646517454
1.23460087708705,1.52423932570411,0.956953728860465
1.21131092592452,1.46727415926413,0.938882824977971
1.21381156157328,1.47333850700896,0.942234522794001
