"ibcf_rmse_val","ibcf_mse_val","ibcf_mae_val"
1.33845560801774,1.79146341463415,1.00243902439024
1.69586821193395,2.87596899224806,1.21705426356589
1.4540774000277,2.11434108527132,1.14728682170543
1.25166555703457,1.56666666666667,0.9
1.80568662887021,3.26050420168067,1.3781512605042
1.37620470640795,1.89393939393939,0.954545454545455
1.50287081602351,2.25862068965517,1.13793103448276
1.80277563773199,3.25,1.4
1.33745112441692,1.78877551020408,0.989795918367347
2.01482599981334,4.05952380952381,1.54761904761905
